The Contributors record is used to identify and give credit for those contributing to the project.  There can be multiple contributors Ð in this case the contributor record should be listed in order of importance. Contributors can be individuals or institutional groups.,,,,,,,,,,,,,,,,
"The number for the dataset if multiple datasets are entered into the same spreadsheet (generally sequential numbers). Use ""1"" as the id if there is only one dataset.","The person (Last name, First name) or organization (e.g. research group, department, institution) contributing or responsible for the project, but does not include funders of the project. ",Creators are the main researchers involved in producing the data. Is this contributor also a creator. THERE MUST BE AT LEAST ONE CREATOR:  CV: Yes/No. Recommended: Yes,"The categorization of the role of the contributor. Recommended including: ProjectLeader (for PI), and ResearchGroup (for the lab, department, or division) CV: ContactPerson, DataCollector, DataCurator, ProjectLeader, ProjectManager, ProjectMember, RelatedPerson, Researcher, ResearchGroup, Other)","The type of Name (CV: Organizational,Personal)","Uniquely identifies an individual or legal entity, (listed in contributorName field).  (CV: ORCID, ISNI, ROR, GRID, RRID) Preferred identifiers are Research Organization Registry, ROR for Organizational names and ORCID for Personal names **Required for Personal nameType",Identifying scheme used in nameIdentifier **Required for Personal nameType,The organization or institutional affiliation of the contributor,The unique identifier (ROR Preferred) for the organization or institutional affiliation of the contributor,"Identifying scheme used in affiliationIdentifier (CV: ORCID, ISNI, ROR, GRID, RRID)",,,,,,,
datasetID*,contributorName*,Creator*,contributorType+*,nameType+*,nameIdentifier+**,nameIdentifierScheme+**,affiliation+*,affiliationIdentifier+*,affiliationIdentifierScheme+*,,,,,,,
ds1,"Ropelewski, Alexander",Yes,ProjectLeader,Personal,https://orcid.org/0000-0001-6874-4477,ORCID,Pittsburgh Supercomputing Center,Êhttps://ror.org/04tac1482,ROR,,,,,,,
ds1,Biomedical Applications Group,Yes,ResearchGroup,Organizational,,,Pittsburgh Supercomputing Center,Êhttps://ror.org/04tac1485,ROR,,,,,,,
ds1,Biomedical Applications Group,Yes,DataCollector,"Personal, Organizational",,,Pittsburgh Supercomputing Center,Êhttps://ror.org/04tac1488,ISNI,,,,,,,
ds2,Bioinformatics Group,Yes,"DataCollector, ProjectManager",Organizational,,,RTI International,Êhttps://ror.org/04tac1500,"ISNI, GRID",,,,,,,
ds3,Bioinformatics Group,Yes,"ProjectLeader, ProjectMember",Organizational,,,RTI International,Êhttps://ror.org/04tac1501,"GRID, ISNI",,,,,,,
ds3,Biomedical Applications Group,Yes,ProjectMember,Organizational,,,RTI International,Êhttps://ror.org/04tac1502,ISNI,,,,,,,
ds3,Biomedical Applications Group,Yes,DataCollector,Organizational,,,RTI International,Êhttps://ror.org/04tac1503,ROR,,,,,,,
ds3,Biomedical Applications Group,Yes,Researcher,Organizational,,,RTI International,Êhttps://ror.org/04tac1504,GRID,,,,,,,
ds3,Biomedical Applications Group,Yes,Researcher,Organizational,,,RTI International,Êhttps://ror.org/04tac1505,RRID,,,,,,,
ds3,Biomedical Applications Group,Yes,ResearchGroup,Organizational,,,RTI International,Êhttps://ror.org/04tac1506,ROR,,,,,,,
d4,Biomedical Applications Group,Yes,DataCollector,Organizational,,,RTI International,Êhttps://ror.org/04tac1507,ROR,,,,,,,
,,,,,,,,,,,,,,,,